UnitSymbol,UnitName,MajorGroup,UnitDescri,color,Data_source,Duplicated
Ic,Undivided Crater Material,Undivided Crater Materials,"Undivided Crater Material, Imbrian System",01abab,I-0703,FALSE
Ic1,Crater Material,Materials of Main-Sequence Craters,"Crater Material, Imbrian System, all topographic elements subdued",01abab,I-0703,FALSE
Ic1,Crater Material,pre-Orientale Group,"Crater Material, Imbrian System, pre-Orientale Group",01abab,I-1034,TRUE
Ic1,Lower Imbrian Crater Material,Materials of Primary Impact Craters and Their Secondary Craters,"Lower Imbrian Crater Material, Imbrian System",01abab,I-1162,TRUE
Ic1,Material of Moderately Subdued Circular Craters,Crater Materials,"Material of Moderately Subdued Circular Craters, Imbrian System",97922e,I-0948,TRUE
Ic1,Material of Moderately Subdued Craters,Crater Materials,"Material of Moderately Subdued Craters, Imbrian System",97922e,I-1062,TRUE
Ic1,Material of Single Craters,Crater Materials,"Material of Single Craters, Imbrian System",01abab,I-1047,TRUE
Ic2,Crater Material,Materials of Main-Sequence Craters,"Crater Material, Imbrian System, rim crest and interior terraces moderately sharp",01abab,I-0703,FALSE
Ic2,Crater Materials,post-Orientale Group,"Crater Materials, Imbrian System, post-Orientale Group",01abab,I-1034,TRUE
Ic2,Material of Moderately Fresh Circular Craters,Crater Materials,"Material of Moderately Fresh Circular Craters, Imbrian System",01abab,I-0948,TRUE
Ic2,Material of Moderately Fresh Craters,Crater Materials,"Material of Moderately Fresh Craters, Imbrian System",01abab,I-1062,TRUE
Ic2,Material of Single Craters,Crater Materials,"Material of Single Craters, Imbrian System",01abab,I-1047,TRUE
Ic2,Upper Imbrian Crater Material,Materials of Primary Impact Craters and Their Secondary Craters,"Upper Imbrian Crater Material, Imbrian System",01abab,I-1162,TRUE
Icc,Material of Crater Clusters and Chains,Materials of Crater Chains and Clusters,"Material of Crater Clusters and Chains, Imbrian System",c3bc6c,I-0703,FALSE
Icc,Material of Elongate and Irregular Clusters of Craters,Crater Materials,"Material of Elongate and Irregular Clusters of Craters, Imbrian System",c3bc6c,I-1047,TRUE
Icc,Material of Moderately Fresh Crater Chains Clusters and Irregular,Crater Materials,"Material of Moderately Fresh Crater Chains Clusters and Irregular, Imbrian System",01abab,I-0948,TRUE
Icc1,Material of Crater Clusters and Chains,Crater Materials,"Material of Crater Clusters and Chains, Imbrian System",c3bc6c,I-1062,FALSE
Icc2,Material of Crater Clusters and Chains,Crater Materials,"Material of Crater Clusters and Chains, Imbrian System",c3bc6c,I-1062,FALSE
Ich,Material of Crater Chains and Clusters,Materials of Crater Chains and Clusters,"Material of Crater Chains and Clusters, Imbrian System",c3bc6c,I-0703,FALSE
Ici,Irregular-Crater Material,Irregular Crater Materials,"Irregular-Crater Material, Imbrian System",5475ba,I-0703,FALSE
Ico,Material of Elongate Clusters of Craters Approximately Radial to Orientale Basin,Crater Materials,"Material of Elongate Clusters of Craters Approximately Radial to Orientale Basin, Imbrian System",c3bc6c,I-1047,FALSE
Ics,Material of Smooth-Rimmed Craters,Material of Smooth-Rimmed Craters,"Material of Smooth-Rimmed Craters, Imbrian System",01abab,I-0703,FALSE
Id,Dark Mantling Material,Mare and Other Dark Materials,"Dark Mantling Material, Imbrian System",86593c,I-1162,TRUE
Id,Dome Material,Distinctive Materials,"Dome Material, Imbrian System",dc565d,I-0703,FALSE
If,Fra Mauro Formation,Circumbasin Materials,"Fra Mauro Formation, Imbrian System",c3cf01,I-0703,FALSE
If,Fra Mauro Formation,pre-Orientale Group,"Fra Mauro Formation, Imbrian System",c3cf01,I-1034,TRUE
If,Fra Mauro Formation,Basin Materials,"Fra Mauro Formation, Imbrian System",c3cf01,I-1062,TRUE
Ifc,Fractured Crater Floor Material,Probable Basin-Related Materials,"Fractured Crater Floor Material, Imbrian System",01abab,I-1162,TRUE
Ifc,Furrowed Raised Crater Floor or Fill Material,Crater Materials,"Furrowed Raised Crater Floor or Fill Material, Imbrian System",acc8b2,I-1047,TRUE
Ifc,Material of Furrowed Crater Floors,Crater Materials,"Material of Furrowed Crater Floors, Imbrian System",acc8b2,I-0948,FALSE
Ig,Material of Grooves and Mounds,Other Materials,"Material of Grooves and Mounds, Imbrian System",10112d,I-1047,FALSE
Ih,Hilly Material,Distinctive Materials,"Hilly Material, Imbrian System",f68c65,I-0703,FALSE
Ihe,Hevelius Formation,Circumbasin Materials,"Hevelius Formation, Imbrian System",d63320,I-0703,FALSE
Ihf,Hilly and Furrowed Material,Distinctive Materials,"Hilly and Furrowed Material, Imbrian System",f68c65,I-0703,FALSE
Ihp,Hilly and Pitted Material,Distinctive Materials,"Hilly and Pitted Material, Imbrian System",f68c65,I-0703,FALSE
Iic,Material of Imbrium-Basin Secondary-Impact Craters,Basin Materials,"Material of Imbrium-Basin Secondary-Impact Craters, Imbrian System",9f7992,I-1162,FALSE
Im,Mare Material,Dark Materials,"Mare Material, Imbrian System",f6b8bb,I-0703,FALSE
Im,Mare Materials of Dark Plains,Other Materials,"Mare Materials of Dark Plains, Imbrian System",f6b8bb,I-1047,TRUE
Im,Older Mare Material,Mare and Dark Mantle Materials,"Older Mare Material, Imbrian System",f6b8bb,I-1062,TRUE
Im1,Older Mare Material,Mare and Other Materials,"Older Mare Material, Imbrian System",f6b8bb,I-0948,FALSE
Im1,Oldest Mare Material,Mare and Other Dark Materials,"Oldest Mare Material, Imbrian System",f6b8bb,I-1162,TRUE
Im2,Intermediate Mate Material,Mare and Other Dark Materials,"Intermediate Mate Material, Imbrian System",f6b8bb,I-1162,TRUE
Im2,Younger Mare Material,Mare and Other Materials,"Younger Mare Material, Imbrian System",f6b8bb,I-0948,FALSE
Imd,Mare Dome Material,Mare and Other Dark Materials,"Mare Dome Material, Imbrian System",dc565d,I-1162,FALSE
INbl,Undivided Lineated Basin Material,Basin Materials,"Undivided Lineated Basin Material, Imbrian and Nectarian Systems",ef9f30,I-1062,FALSE
